,batter,player_name,game_date,stand,p_throws,pitch_type,effective_speed,pfx_x,pfx_z,plate_x,plate_z,zone,description,launch_speed,launch_angle,hc_x,hc_y,if_fielding_alignment,events
10,606466,"Vodnik, Victor",2024-03-31,L,R,FF,97.9,-0.54,1.34,0.24,2.31,5.0,hit_into_play,95.7,-14.0,153.09,155.28,Standard,field_out
11,666134,"Thompson, Ryan",2024-03-31,L,R,SI,90.3,-1.19,-0.61,-0.5,2.57,4.0,hit_into_play,66.0,-57.0,102.26,166.77,Standard,force_out
14,682998,"Vodnik, Victor",2024-03-31,L,R,SL,85.3,0.18,-0.75,0.41,1.93,9.0,hit_into_play,69.8,1.0,149.46,152.85,Strategic,field_out
23,641857,"McGough, Scott",2024-03-31,L,R,FS,85.0,-1.07,1.0,-0.39,1.82,7.0,hit_into_play,86.5,32.0,121.0,73.11,Standard,field_out
26,572233,"Feltner, Ryan",2024-03-31,R,R,SL,89.4,0.51,0.34,0.23,2.39,5.0,hit_into_play,75.5,-14.0,103.47,163.14,Strategic,field_out
27,606466,"Feltner, Ryan",2024-03-31,L,R,SL,90.4,0.51,0.59,0.71,2.71,6.0,hit_into_play,90.3,45.0,79.26,108.08,Standard,field_error
29,682998,"Feltner, Ryan",2024-03-31,L,R,FF,97.7,-0.2,1.16,0.25,2.92,2.0,hit_into_play,67.7,77.0,85.92,178.88,Standard,field_out
34,666134,"Pfaadt, Brandon",2024-03-31,L,R,FF,93.2,-0.3,1.25,1.01,3.08,12.0,hit_into_play,81.5,78.0,116.78,181.9,Standard,field_out
35,553993,"Feltner, Ryan",2024-03-31,R,R,SI,94.8,-1.13,0.78,-0.94,3.03,11.0,hit_into_play,52.5,54.0,132.26,151.84,Strategic,field_out
38,641857,"Pfaadt, Brandon",2024-03-31,L,R,FF,95.4,-0.51,1.36,-0.51,2.47,4.0,hit_into_play,97.5,24.0,67.29,70.67,Infield shade,field_out
54,682998,"Feltner, Ryan",2024-03-31,L,R,FF,96.3,-0.23,1.21,0.42,2.76,3.0,hit_into_play,70.2,48.0,98.96,120.55,Infield shade,field_out
62,677950,"Feltner, Ryan",2024-03-31,L,R,CH,88.3,-0.47,0.68,0.07,2.48,5.0,hit_into_play,98.3,-12.0,152.02,170.04,Infield shade,grounded_into_double_play
64,553993,"Feltner, Ryan",2024-03-31,R,R,SL,89.7,0.45,0.32,-0.09,2.61,5.0,hit_into_play,88.3,4.0,102.26,163.14,Standard,fielders_choice
68,572233,"Feltner, Ryan",2024-03-31,R,R,ST,83.3,0.92,-0.07,0.1,1.56,8.0,hit_into_play,103.9,25.0,75.03,38.49,Strategic,home_run
91,656811,"Estévez, Carlos",2024-03-31,L,R,FF,95.2,-0.78,1.6,-0.29,2.26,4.0,hit_into_play,99.0,30.0,52.2,76.62,Infield shade,field_out
95,621493,"Cano, Yennier",2024-03-31,R,R,SI,94.7,-1.62,-0.32,-0.3,2.4,4.0,hit_into_play,89.3,-20.0,110.04,145.83,Standard,field_out
111,683002,"Soriano, José",2024-03-31,L,R,SI,99.1,-1.36,0.56,-0.23,1.45,13.0,hit_into_play,85.9,-24.0,144.59,157.63,Standard,force_out
112,666176,"Tate, Dillon",2024-03-31,R,R,SI,92.9,-1.24,0.27,0.09,1.38,14.0,hit_into_play,102.4,-17.0,148.66,151.29,Standard,grounded_into_double_play
130,687263,"Wells, Tyler",2024-03-31,R,R,CU,76.8,0.78,-0.73,0.81,2.16,9.0,hit_into_play,96.9,32.0,113.05,44.27,Standard,field_out
150,621493,"Wells, Tyler",2024-03-31,R,R,CH,87.3,-1.45,1.06,-0.08,2.66,5.0,hit_into_play,104.7,6.0,98.86,137.98,Infield shade,field_out
170,687263,"Wells, Tyler",2024-03-31,R,R,FC,88.8,0.51,1.03,-0.16,3.12,2.0,hit_into_play,103.7,12.0,85.3,81.72,Standard,single
173,666176,"Wells, Tyler",2024-03-31,R,R,FF,94.0,-0.4,1.59,0.63,2.66,6.0,hit_into_play,111.9,16.0,61.59,70.82,Standard,field_out
178,681351,"Wells, Tyler",2024-03-31,R,R,FF,92.3,-0.53,1.59,-0.09,3.42,11.0,hit_into_play,101.2,13.0,63.48,105.89,Standard,single
182,683002,"Detmers, Reid",2024-03-31,L,L,SL,83.9,-0.44,-0.18,0.93,2.76,12.0,hit_into_play,88.3,11.0,167.15,156.32,Infield shade,field_out
185,621493,"Wells, Tyler",2024-03-31,R,R,FF,93.1,-0.62,1.76,-0.26,2.15,8.0,hit_into_play,107.6,25.0,27.53,70.27,Infield shade,home_run
187,545361,"Wells, Tyler",2024-03-31,R,R,FF,92.3,-0.35,1.56,-0.82,2.74,4.0,hit_into_play,84.3,34.0,39.88,107.3,Standard,field_out
189,683734,"Foley, Jason",2024-03-31,R,R,SI,97.6,-1.5,0.49,0.16,1.89,8.0,hit_into_play,105.7,-16.0,110.49,148.98,Standard,field_out
195,681481,"Kopech, Michael",2024-03-31,L,R,FF,94.2,-0.67,1.65,-0.02,1.69,8.0,hit_into_play,95.9,0.0,155.87,160.48,Standard,field_out
196,683734,"Flaherty, Jack",2024-03-31,R,R,KC,79.7,1.17,-0.81,0.63,1.92,9.0,hit_into_play,69.5,6.0,108.07,155.03,Standard,field_out
204,681481,"Banks, Tanner",2024-03-31,L,L,ST,79.0,-1.02,-0.08,-0.39,2.0,7.0,hit_into_play,71.0,88.0,120.17,223.41,Infield shade,field_out
210,681481,"Fedde, Erick",2024-03-31,L,R,ST,82.4,0.74,0.41,-0.35,3.5,11.0,hit_into_play,105.0,32.0,211.94,64.89,Infield shade,home_run
216,683734,"Flaherty, Jack",2024-03-31,R,R,FF,95.1,-0.34,1.23,-0.62,3.15,1.0,hit_into_play,87.2,72.0,147.96,175.51,Standard,field_out
218,681481,"Fedde, Erick",2024-03-31,L,R,SI,95.2,-1.17,1.08,-0.8,2.12,4.0,hit_into_play,102.0,-1.0,122.49,189.79,Standard,single
228,663886,"Floro, Dylan",2024-03-31,R,R,SI,89.9,-1.35,0.77,-0.89,2.7,11.0,hit_into_play,73.0,29.0,153.04,102.23,Standard,single
229,682829,"Garcia, Robert",2024-03-31,R,L,CH,86.8,1.29,0.32,0.14,2.22,8.0,hit_into_play,83.5,-21.0,101.76,171.47,Standard,force_out
230,663886,"Irvin, Jake",2024-03-31,R,R,SI,93.2,-1.38,0.54,0.33,2.02,9.0,hit_into_play,102.3,-25.0,121.15,144.8,Standard,field_out
236,682829,"Irvin, Jake",2024-03-31,L,R,FC,92.6,-0.21,0.7,0.19,2.62,5.0,hit_into_play,95.5,24.0,185.39,67.23,Infield shade,triple
241,663886,"Irvin, Jake",2024-03-31,R,R,SI,95.5,-1.53,0.44,-0.03,1.79,8.0,hit_into_play,75.8,-48.0,110.85,182.98,Standard,field_out
247,682829,"Irvin, Jake",2024-03-31,L,R,FC,92.0,-0.18,0.71,0.35,2.25,9.0,hit_into_play,101.3,-8.0,150.84,175.71,Infield shade,grounded_into_double_play
248,663656,"Holmes, Clay",2024-03-31,L,R,SI,96.9,-1.43,0.55,-0.83,2.27,13.0,hit_into_play,80.2,23.0,70.19,119.41,Standard,field_out
253,665742,"Hader, Josh",2024-03-31,L,L,SI,97.1,0.61,1.69,-0.98,3.02,11.0,hit_into_play,87.0,14.0,75.64,108.06,Standard,single
260,650402,"Hader, Josh",2024-03-31,R,L,SI,95.2,0.55,1.71,-0.63,2.61,4.0,hit_into_play,59.3,37.0,175.73,137.27,Standard,single
262,673237,"Ferguson, Caleb",2024-03-31,R,L,FC,85.5,-0.53,-0.04,0.43,2.78,3.0,hit_into_play,93.0,35.0,206.5,104.24,Standard,field_out
269,608324,"Ferguson, Caleb",2024-03-31,R,L,FF,95.3,0.76,1.19,-0.52,2.34,4.0,hit_into_play,77.5,4.0,137.82,150.57,Standard,field_out
274,665742,"Abreu, Bryan",2024-03-31,L,R,SL,89.1,0.69,-0.22,0.08,2.68,2.0,hit_into_play,90.2,46.0,65.65,114.1,Infield shade,field_out
284,673237,"Loáisiga, Jonathan",2024-03-31,R,R,SI,98.2,-1.62,0.7,-0.52,2.6,4.0,hit_into_play,91.2,6.0,120.08,103.42,Standard,single
286,608324,"Loáisiga, Jonathan",2024-03-31,R,R,SI,98.0,-1.51,0.77,-0.21,2.34,5.0,hit_into_play,87.4,6.0,156.58,161.72,Standard,field_out
289,663656,"Schmidt, Clarke",2024-03-31,L,R,CH,86.6,-0.09,-0.12,0.02,2.37,5.0,hit_into_play,98.9,-4.0,202.21,123.19,Standard,double
290,592450,"France, J.P.",2024-03-31,R,R,FF,91.6,-0.62,1.51,-0.79,3.41,1.0,hit_into_play,94.5,31.0,138.55,55.08,Standard,sac_fly
294,665742,"France, J.P.",2024-03-31,L,R,FF,91.7,-0.96,1.42,-0.27,1.82,8.0,hit_into_play,110.4,0.0,101.1,98.2,Infield shade,single
299,650402,"France, J.P.",2024-03-31,R,R,FF,90.0,-0.39,1.36,-0.2,3.07,2.0,hit_into_play,91.3,77.0,148.97,173.38,Standard,force_out
300,673237,"Schmidt, Clarke",2024-03-31,R,R,SI,94.5,-1.02,0.62,-0.15,2.01,8.0,hit_into_play,95.6,-29.0,109.43,171.86,Standard,grounded_into_double_play
