#,Name,MLBAMID,Last,First,Lastv2,Firstv2,YahooName
1,Clayton Kershaw,477132,Kershaw,Clayton,Kershaw,Clayton,Clayton Kershaw
2,Carlos Santana,467793,Santana,Carlos,Santana,Carlos,Carlos Santana
3,Cory Rasmus,474284,Rasmus,Cory,Rasmus,Cory,Cory Rasmus
4,Tommy Pham,502054,Pham,Tommy,Pham,Tommy,Tommy Pham
5,Kenley Jansen,445276,Jansen,Kenley,Jansen,Kenley,Kenley Jansen
6,Max Scherzer,453286,Scherzer,Max,Scherzer,Max,Max Scherzer
7,Liam Hendriks,521230,Hendriks,Liam,Hendriks,Liam,Liam Hendriks
8,Justin Wilson,458677,Wilson,Justin,Wilson,Justin,Justin Wilson
9,Charlie Morton,450203,Morton,Charlie,Morton,Charlie,Charlie Morton
10,Giancarlo Stanton,519317,Stanton,Giancarlo,Stanton,Giancarlo,Giancarlo Stanton
11,Anthony Gose,543238,Gose,Anthony,Gose,Anthony,Anthony Gose
12,Justin Turner,457759,Turner,Justin,Turner,Justin,Justin Turner
13,Sandy Leon,506702,Leon,Sandy,León,Sandy,Sandy León
14,Freddie Freeman,518692,Freeman,Freddie,Freeman,Freddie,Freddie Freeman
15,Jose Altuve,514888,Altuve,Jose,Altuve,Jose,Jose Altuve
16,Kyle Higashioka,543309,Higashioka,Kyle,Higashioka,Kyle,Kyle Higashioka
17,Ryan Brasier,518489,Brasier,Ryan,Brasier,Ryan,Ryan Brasier
18,Wilmer Flores,527038,Flores,Wilmer,Flores,Wilmer,Wilmer Flores
19,Leury Garcia,544725,Garcia,Leury,Garcia,Leury,Leury García
20,Alex Cobb,502171,Cobb,Alex,Cobb,Alex,Alex Cobb
21,Carlos Carrasco,471911,Carrasco,Carlos,Carrasco,Carlos,Carlos Carrasco
22,Craig Kimbrel,518886,Kimbrel,Craig,Kimbrel,Craig,Craig Kimbrel
23,Martin Perez,527048,Perez,Martin,Pérez,Martín,Martín Pérez
24,Luis Garcia,472610,Garcia,Luis,García,Luis,Luis García
25,Salvador Perez,521692,Perez,Salvador,Perez,Salvador,Salvador Perez
26,Evan Scribner,519267,Scribner,Evan,Scribner,Evan,Evan Scribner
27,Travis d’Arnaud,518595,d’Arnaud,Travis,d’Arnaud,Travis,Travis d’Arnaud
28,Miguel Rojas,500743,Rojas,Miguel,Rojas,Miguel,Miguel Rojas
29,Hunter Strickland,519326,Strickland,Hunter,Strickland,Hunter,Hunter Strickland
30,Bryan Shaw,543766,Shaw,Bryan,Shaw,Bryan,Bryan Shaw
31,David Robertson,502085,Robertson,David,Robertson,David,David Robertson
32,Donovan Solano,456781,Solano,Donovan,Solano,Donovan,Donovan Solano
33,Justin Verlander,434378,Verlander,Justin,Verlander,Justin,Justin Verlander
34,Wade Miley,489119,Miley,Wade,Miley,Wade,Wade Miley
35,Kirby Yates,489446,Yates,Kirby,Yates,Kirby,Kirby Yates
36,Nathan Eovaldi,543135,Eovaldi,Nathan,Eovaldi,Nathan,Nathan Eovaldi
37,Casey Kelly,543391,Kelly,Casey,Kelly,Casey,Casey Kelly
38,Paul Goldschmidt,502671,Goldschmidt,Paul,Goldschmidt,Paul,Paul Goldschmidt
39,Starling Marte,516782,Marte,Starling,Marte,Starling,Starling Marte
40,Patrick Corbin,571578,Corbin,Patrick,Corbin,Patrick,Patrick Corbin
41,Dallas Keuchel,572971,Keuchel,Dallas,Keuchel,Dallas,Dallas Keuchel
42,Christian Vazquez,543877,Vazquez,Christian,Vázquez,Christian,Christian Vázquez
